dataset,column,mean,std,median,iqr,skew,kurtosis
ddf--datapoints--alcohol_consumption_per_adult_15plus_litres--by--geo--time,alcohol_consumption_per_adult_15plus_litres,7.053496332518337,4.856419215701881,6.53,7.09,0.4539851840682903,-0.3836895815746981
ddf--datapoints--body_mass_index_bmi_men_kgperm2--by--geo--time,body_mass_index_bmi_men_kgperm2,23.7882448267265,2.6588981965081193,24.0,3.900000000000002,0.22414496187554653,-0.032841691416579444
ddf--datapoints--body_mass_index_bmi_women_kgperm2--by--geo--time,body_mass_index_bmi_women_kgperm2,24.535477437048115,2.791299533966244,24.7,3.6999999999999993,0.18054099649712782,0.34323626313737243
ddf--datapoints--breast_cancer_deaths_per_100000_women--by--geo--time,breast_cancer_deaths_per_100000_women,19.102058823529415,8.534001300731374,17.88,10.700000000000001,1.1625968430214477,2.863369997420642
ddf--datapoints--cell_phones_per_100_people--by--geo--time,time,1997.14,15.842934201481578,1998.0,26.0,-0.23846257897578277,-0.8082842652713143
ddf--datapoints--cell_phones_per_100_people--by--geo--time,cell_phones_per_100_people,37.91732339227053,52.66192698603191,1.36867,79.201975,1.2083063739695583,0.7164898919194789
ddf--datapoints--cell_phones_total--by--geo--time,time,1997.1193368035474,15.831795223589111,1998.0,26.0,-0.2351530510139531,-0.8079405196586782
ddf--datapoints--cell_phones_total--by--geo--time,cell_phones_total,12250051.264314633,73594487.30700466,28950.0,3192502.5,15.58915546895493,294.7297598970459
ddf--datapoints--data_quality_income_per_person--by--geo--time,time,1966.2439024390244,42.92466002226229,1971.5,41.0,-3.573484939340471,18.11896656492421
ddf--datapoints--economic_growth_over_the_past_10_years--by--geo--time,economic_growth_over_the_past_10_years,1.7657703550619084,2.909445755116884,1.861,3.0145,-0.4051074442425801,4.921279906996308
ddf--datapoints--females_aged_15_24_unemployment_rate_percent--by--geo--time,time,2007.0091391509434,12.302329316096486,2009.0,18.0,-0.9198051164751214,0.8711549924427868
